W(GeV)	WErrorp	WErrorm	sigma(mb)	Errorp	Errorm
16.82751288527292	0.0	0.0	38.62	0.20220684953779386	0.20220684953779386
17.907667146552093	0.0	0.0	38.83	0.16038797461156495	0.16038797461156495
18.011986701500767	0.0	0.0	37.4	1.1157817887024326	1.1157817887024326
18.167674697934405	0.09012794198495301	0.09057726596478943	39.6	1.619056515381721	1.619056515381721
19.221229869761828	0.0	0.0	38.5	1.2153420300475088	1.2153420300475088
19.415555991154672	0.0	0.0	38.98	0.16096908523067402	0.16096908523067402
19.415555991154672	0.0	0.0	38.9	0.20354422123951346	0.20354422123951346
19.655628043939934	0.0	0.0	39.0	1.0	1.0
21.26036515938739	0.0	0.0	39.24	0.1619766699250235	0.1619766699250235
22.957409162819964	0.0	0.0	39.42	0.16267446757251122	0.16267446757251122
23.49660806746931	0.0	0.0	39.65	0.2338557033728277	0.2338557033728277
23.49660806746931	0.0	0.0	39.4	0.3	0.3
23.49660806746931	0.0	0.0	39.13	0.3968899701428597	0.3968899701428597
23.49660806746931	0.0	0.0	38.8	0.25	0.25
23.49660806746931	0.0	0.0	38.9	0.7	0.7
23.596593673866234	0.0	0.0	38.7	0.7	0.7
23.760522699893688	0.0	0.0	39.21	0.92	0.92
23.760522699893688	0.059141976289801335	0.059289550622924736	40.68	0.55	0.55
23.878660174619256	0.0	0.0	39.0	1.0	1.0
24.152067204103922	0.0	0.0	39.59	0.1693454741054511	0.1693454741054511
25.290356172456125	0.0	0.0	39.69	0.1735071687279808	0.1735071687279808
26.379573888140268	0.0	0.0	39.77	0.17001895894281907	0.17001895894281907
27.596045473208555	0.0	0.0	40.6	1.2	1.2
30.5955887439932	0.0	0.0	40.22	0.21326597103147987	0.21326597103147987
30.5955887439932	0.0	0.0	40.11	0.1879767230270812	0.1879767230270812
30.5955887439932	0.0	0.0	39.91	0.4077267364301733	0.4077267364301733
30.5955887439932	0.0	0.0	40.07	0.24	0.24
30.5955887439932	0.0	0.0	40.2	0.8	0.8
30.595802122650944	0.0	0.0	40.1	0.4	0.4
30.69557572344225	0.0	0.0	40.1	0.2	0.2
30.79555940880413	0.0	0.0	40.0	0.6	0.6
35.19492921339282	0.0	0.0	40.42	0.6199013147267878	0.6199013147267878
44.69283319323125	0.0	0.0	41.7	0.4	0.4
44.69356334924007	0.0	0.0	41.9	0.24	0.24
44.893535976917285	0.0	0.0	41.89	0.4069051432459413	0.4069051432459413
45.19349293880148	0.0	0.0	42.5	0.8	0.8
52.7923970195484	0.0	0.0	43.01	0.2638138768146968	0.2638138768146968
52.7923970195484	0.0	0.0	42.85	0.41833050331048055	0.41833050331048055
52.7923970195484	0.0	0.0	42.71	0.35	0.35
52.89199482735803	0.0	0.0	42.4	0.4	0.4
53.19234073941078	0.0	0.0	42.9	0.7	0.7
62.291030875055725	0.0	0.0	43.55	0.32200374221427924	0.32200374221427924
62.3920816670216	0.0	0.0	43.1	0.4	0.4
62.49100501227944	0.0	0.0	44.0	0.4464258057057186	0.4464258057057186
62.69097686203887	0.0	0.0	43.82	0.3176551746784554	0.3176551746784554
62.69097686203887	0.0	0.0	42.96	0.38	0.38
62.79096096496027	0.0	0.0	44.1	0.9	0.9
62.9909331501793	0.0	0.0	42.2	3.5	3.5
86.44068425953466	35.64567594636929	25.23095294471159	43.0	5.9687184554140265	5.9687184554140265
136.98042112110258	35.46191631399034	28.16747235680873	48.0	6.923698433640795	6.923698433640795
193.4824636220615	50.09172161512791	39.792516801885775	54.0	7.161256872923915	7.161256872923915
273.29301437958344	70.758917313658	56.2057514625549	56.0	8.306527553677286	8.306527553677286
386.0285840408341	159.25024343628726	112.7355696612507	54.0	9.033825324855467	9.033825324855467
6163.217488658014	780.8955486563983	895.5882543629505	93.0	14.0	14.0
6999.008054717468	0.0	0.0	98.3	2.7596568192440163	2.7596568192440163
6999.008054717468	0.0	0.0	98.58	2.2673400000000004	2.2673400000000004
6999.008054717468	0.0	0.0	98.0	2.548	2.548
7998.694018400754	0.0	0.0	101.7	2.9493	2.9493
8124.58848188633	1029.490950257572	1180.4754445719166	101.0	16.0	16.0
