u	GluePotFac	MesonPotFac
6.861	4.6828e-116	9.07462e-61
6.871	1.9858e-116	6.11693e-61
6.881	9.70775e-117	4.14315e-61
6.891	4.29061e-117	2.79736e-61
6.901	2.00546e-117	1.88844e-61
6.911	9.41012e-118	1.27774e-61
6.921	4.139e-118	8.59407e-62
6.931	2.09759e-118	5.82936e-62
6.941	8.56158e-119	3.90537e-62
6.951	4.34787e-119	2.64482e-62
6.961	1.78166e-119	1.7723e-62
6.971	8.85943e-120	1.19709e-62
6.981	3.74488e-120	8.03265e-63
6.991	1.79642e-120	5.40879e-63
7.001	7.97913e-121	3.63628e-63
7.011	3.63222e-121	2.43985e-63
7.021	1.72759e-121	1.64416e-63
7.031	7.34308e-122	1.09891e-63
7.041	3.75051e-122	7.42023e-64
7.051	1.48936e-122	4.9425e-64
7.061	7.5206e-123	3.3297e-64
7.071	3.04248e-123	2.22001e-64
7.081	1.49874e-123	1.49142e-64
7.091	6.28494e-124	9.95918e-65
7.101	2.97282e-124	6.66878e-65
7.111	1.31742e-124	4.46247e-65
7.121	5.88163e-125	2.9771e-65
7.131	2.8082e-125	1.99721e-65
7.141	1.16393e-125	1.32705e-65
7.151	5.93404e-126	8.91693e-66
7.161	2.31189e-126	5.90704e-66
7.171	1.16414e-126	3.95975e-66
7.181	4.62743e-127	2.62594e-66
7.191	2.26962e-127	1.75522e-66
7.201	9.37134e-128	1.16591e-66
7.211	4.40385e-128	7.76692e-67
7.221	1.92687e-128	5.17053e-67
7.231	8.5221e-129	3.43138e-67
7.241	4.03086e-129	2.29038e-67
7.251	1.64928e-129	1.51369e-67
7.261	8.40662e-130	1.01238e-67
7.271	3.20311e-130	6.66798e-68
7.281	1.61438e-130	4.44911e-68
7.291	6.26778e-131	2.93349e-68
7.301	3.08016e-131	1.95168e-68
7.311	1.24082e-131	1.28896e-68
7.321	5.84667e-132	8.54663e-69
7.331	2.49415e-132	5.65701e-69
7.341	1.10623e-132	3.7366e-69
7.351	5.10222e-133	2.47994e-69
7.361	2.09179e-133	1.63117e-69
7.371	1.06258e-133	1.08593e-69
7.381	3.96604e-134	7.11057e-70
7.391	2.00748e-134	4.72403e-70
7.401	7.56955e-135	3.09553e-70
7.411	3.75027e-135	2.05082e-70
7.421	1.46043e-135	1.34594e-70
7.431	6.96582e-136	8.88749e-71
7.441	2.85942e-136	5.84528e-71
7.451	1.28856e-136	3.84515e-71
