Q2:	1.6

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.00351479	0.999927	-0.030972	1.00045
0.00355387	0.999926	-0.0312124	1.00046
0.00359316	0.999925	-0.0314538	1.00047
0.00363268	0.999923	-0.0316961	1.00047
0.00367241	0.999922	-0.0319393	1.00048
0.00371237	0.999921	-0.0321835	1.00049
0.00375254	0.999919	-0.0324286	1.0005
0.00379293	0.999918	-0.0326745	1.0005
0.00383354	0.999917	-0.0329214	1.00051
0.00387437	0.999915	-0.0331692	1.00052
0.00391542	0.999914	-0.0334179	1.00053
0.00395669	0.999912	-0.0336675	1.00053
0.00399818	0.999911	-0.0339179	1.00054
0.00403989	0.99991	-0.0341693	1.00055
0.00408181	0.999908	-0.0344215	1.00056
0.00412396	0.999907	-0.0346745	1.00056
0.00416633	0.999905	-0.0349284	1.00057
0.00420891	0.999904	-0.0351832	1.00058
0.00425172	0.999902	-0.0354388	1.00059
0.00429474	0.999901	-0.0356953	1.0006
0.00433798	0.999899	-0.0359525	1.00061
0.00438144	0.999898	-0.0362106	1.00061
0.00442513	0.999896	-0.0364696	1.00062
0.00446903	0.999894	-0.0367293	1.00063
0.00451315	0.999893	-0.0369898	1.00064
0.00455749	0.999891	-0.0372511	1.00065
0.00460205	0.999889	-0.0375133	1.00066
0.00464683	0.999888	-0.0377762	1.00067
0.00469183	0.999886	-0.0380398	1.00068
0.00473704	0.999884	-0.0383043	1.00069
0.00478248	0.999882	-0.0385695	1.00069
0.00482814	0.999881	-0.0388355	1.0007
0.00487402	0.999879	-0.0391022	1.00071
0.00492011	0.999877	-0.0393697	1.00072
0.00496643	0.999875	-0.0396379	1.00073
0.00501296	0.999873	-0.0399069	1.00074
0.00505972	0.999872	-0.0401765	1.00075
0.00510669	0.99987	-0.0404469	1.00076
0.00515389	0.999868	-0.040718	1.00077
0.0052013	0.999866	-0.0409898	1.00078
0.00524894	0.999864	-0.0412623	1.00079
0.00529679	0.999862	-0.0415355	1.0008
0.00534486	0.99986	-0.0418094	1.00081
0.00539316	0.999858	-0.0420839	1.00082
0.00544167	0.999856	-0.0423592	1.00083
0.0054904	0.999854	-0.0426351	1.00084
0.00553935	0.999852	-0.0429116	1.00085
