Q2:	1.65477

z	fQ	dfQ/dz	fQ^2 + (dfQ/dz)^2/Q2
0.00528924	0.999856	-0.0428118	1.00082
0.00533728	0.999853	-0.0430933	1.00083
0.00538554	0.999851	-0.0433755	1.00084
0.00543402	0.999849	-0.0436584	1.00085
0.00548271	0.999847	-0.043942	1.00086
0.00553163	0.999845	-0.0442263	1.00087
0.00558077	0.999843	-0.0445113	1.00088
0.00563013	0.999841	-0.0447969	1.00089
0.0056797	0.999838	-0.0450833	1.00091
0.0057295	0.999836	-0.0453702	1.00092
0.00577952	0.999834	-0.0456579	1.00093
0.00582975	0.999832	-0.0459462	1.00094
0.00588021	0.999829	-0.0462351	1.00095
0.00593088	0.999827	-0.0465247	1.00096
0.00598178	0.999825	-0.0468149	1.00097
0.0060329	0.999822	-0.0471058	1.00099
0.00608423	0.99982	-0.0473972	1.001
0.00613579	0.999817	-0.0476893	1.00101
0.00618756	0.999815	-0.047982	1.00102
0.00623956	0.999812	-0.0482752	1.00103
0.00629177	0.99981	-0.0485691	1.00105
0.00634421	0.999807	-0.0488635	1.00106
0.00639686	0.999805	-0.0491585	1.00107
0.00644974	0.999802	-0.0494541	1.00108
0.00650283	0.9998	-0.0497502	1.0011
0.00655615	0.999797	-0.0500469	1.00111
0.00660968	0.999794	-0.0503441	1.00112
0.00666344	0.999792	-0.0506419	1.00113
0.00671741	0.999789	-0.0509402	1.00115
0.00677161	0.999786	-0.0512391	1.00116
0.00682602	0.999783	-0.0515384	1.00117
0.00688066	0.999781	-0.0518383	1.00119
0.00693551	0.999778	-0.0521387	1.0012
0.00699059	0.999775	-0.0524395	1.00121
0.00704588	0.999772	-0.0527409	1.00123
0.0071014	0.999769	-0.0530427	1.00124
0.00715713	0.999766	-0.0533451	1.00125
0.00721309	0.999763	-0.0536479	1.00127
0.00726926	0.99976	-0.0539511	1.00128
0.00732566	0.999757	-0.0542548	1.00129
0.00738228	0.999754	-0.054559	1.00131
0.00743911	0.999751	-0.0548636	1.00132
0.00749617	0.999748	-0.0551686	1.00134
0.00755344	0.999745	-0.0554741	1.00135
0.00761094	0.999742	-0.05578	1.00136
0.00766866	0.999739	-0.0560863	1.00138
0.0077266	0.999736	-0.056393	1.00139
0.00778475	0.999732	-0.0567001	1.00141
0.00784313	0.999729	-0.0570076	1.00142
0.00790173	0.999726	-0.0573155	1.00144
0.00796055	0.999722	-0.0576238	1.00145
0.00801959	0.999719	-0.0579325	1.00147
0.00807885	0.999716	-0.0582415	1.00148
0.00813833	0.999712	-0.0585508	1.0015
0.00819802	0.999709	-0.0588606	1.00151
0.00825794	0.999705	-0.0591706	1.00153
0.00831809	0.999702	-0.059481	1.00154
0.00837845	0.999698	-0.0597918	1.00156
0.00843903	0.999695	-0.0601028	1.00157
0.00849983	0.999691	-0.0604142	1.00159
0.00856085	0.999687	-0.0607259	1.0016
0.00862209	0.999684	-0.0610379	1.00162
0.00868356	0.99968	-0.0613501	1.00163
0.00874524	0.999676	-0.0616627	1.00165
0.00880714	0.999672	-0.0619756	1.00167
0.00886927	0.999669	-0.0622887	1.00168
0.00893161	0.999665	-0.0626021	1.0017
0.00899418	0.999661	-0.0629157	1.00171
0.00905696	0.999657	-0.0632297	1.00173
0.00911997	0.999653	-0.0635438	1.00175
0.0091832	0.999649	-0.0638582	1.00176
0.00924665	0.999645	-0.0641729	1.00178
0.00931031	0.999641	-0.0644877	1.0018
0.0093742	0.999637	-0.0648028	1.00181
0.00943831	0.999633	-0.0651181	1.00183
0.00950264	0.999629	-0.0654336	1.00185
0.00956719	0.999625	-0.0657493	1.00186
0.00963196	0.999621	-0.0660652	1.00188
0.00969695	0.999616	-0.0663813	1.0019
0.00976217	0.999612	-0.0666975	1.00191
0.0098276	0.999608	-0.067014	1.00193
0.00989325	0.999603	-0.0673306	1.00195
0.00995913	0.999599	-0.0676473	1.00196
0.0100252	0.999595	-0.0679642	1.00198
0.0100915	0.99959	-0.0682813	1.002
0.0101581	0.999586	-0.0685985	1.00202
0.0102248	0.999581	-0.0689158	1.00203
0.0102918	0.999577	-0.0692332	1.00205
0.010359	0.999572	-0.0695508	1.00207
0.0104264	0.999567	-0.0698685	1.00209
0.0104941	0.999563	-0.0701863	1.0021
0.0105619	0.999558	-0.0705042	1.00212
0.01063	0.999553	-0.0708221	1.00214
0.0106983	0.999549	-0.0711402	1.00216
0.0107668	0.999544	-0.0714583	1.00217
0.0108356	0.999539	-0.0717765	1.00219
0.0109046	0.999534	-0.0720948	1.00221
0.0109737	0.999529	-0.0724132	1.00223
0.0110431	0.999524	-0.0727315	1.00225
0.0111128	0.999519	-0.07305	1.00226
0.0111826	0.999514	-0.0733685	1.00228
0.0112527	0.999509	-0.073687	1.0023
0.011323	0.999504	-0.0740055	1.00232
0.0113935	0.999499	-0.074324	1.00234
0.0114642	0.999494	-0.0746426	1.00235
0.0115352	0.999488	-0.0749612	1.00237
0.0116064	0.999483	-0.0752798	1.00239
0.0116778	0.999478	-0.0755983	1.00241
0.0117494	0.999473	-0.0759169	1.00243
0.0118212	0.999467	-0.0762354	1.00245
0.0118933	0.999462	-0.0765539	1.00247
0.0119656	0.999456	-0.0768724	1.00248
0.0120381	0.999451	-0.0771908	1.0025
0.0121108	0.999445	-0.0775092	1.00252
0.0121837	0.99944	-0.0778276	1.00254
0.0122569	0.999434	-0.0781459	1.00256
0.0123303	0.999428	-0.0784641	1.00258
0.0124039	0.999423	-0.0787823	1.0026
0.0124777	0.999417	-0.0791004	1.00262
0.0125518	0.999411	-0.0794184	1.00263
0.012626	0.999405	-0.0797363	1.00265
0.0127005	0.9994	-0.0800541	1.00267
0.0127752	0.999394	-0.0803718	1.00269
0.0128502	0.999388	-0.0806894	1.00271
0.0129253	0.999382	-0.0810069	1.00273
0.0130007	0.999376	-0.0813243	1.00275
0.0130763	0.99937	-0.0816416	1.00277
0.0131521	0.999364	-0.0819587	1.00279
0.0132282	0.999357	-0.0822757	1.00281
0.0133044	0.999351	-0.0825926	1.00283
0.0133809	0.999345	-0.0829093	1.00284
0.0134576	0.999339	-0.0832259	1.00286
0.0135345	0.999332	-0.0835423	1.00288
0.0136117	0.999326	-0.0838585	1.0029
0.0136891	0.99932	-0.0841746	1.00292
0.0137666	0.999313	-0.0844904	1.00294
0.0138445	0.999307	-0.0848061	1.00296
0.0139225	0.9993	-0.0851217	1.00298
0.0140007	0.999294	-0.085437	1.003
0.0140792	0.999287	-0.0857521	1.00302
0.0141579	0.99928	-0.086067	1.00304
0.0142368	0.999274	-0.0863817	1.00306
0.014316	0.999267	-0.0866962	1.00308
0.0143953	0.99926	-0.0870105	1.0031
0.0144749	0.999253	-0.0873245	1.00312
0.0145547	0.999246	-0.0876383	1.00313
0.0146348	0.999239	-0.0879519	1.00315
0.014715	0.999232	-0.0882652	1.00317
0.0147955	0.999225	-0.0885783	1.00319
0.0148762	0.999218	-0.0888911	1.00321
0.0149571	0.999211	-0.0892036	1.00323
0.0150382	0.999204	-0.0895159	1.00325
0.0151196	0.999197	-0.089828	1.00327
0.0152012	0.99919	-0.0901397	1.00329
0.015283	0.999182	-0.0904512	1.00331
0.015365	0.999175	-0.0907623	1.00333
0.0154472	0.999168	-0.0910732	1.00335
0.0155297	0.99916	-0.0913838	1.00337
0.0156124	0.999153	-0.0916941	1.00339
0.0156953	0.999145	-0.092004	1.00341
0.0157784	0.999138	-0.0923137	1.00343
0.0158618	0.99913	-0.092623	1.00345
0.0159453	0.999122	-0.0929321	1.00346
0.0160291	0.999115	-0.0932408	1.00348
0.0161131	0.999107	-0.0935491	1.0035
0.0161974	0.999099	-0.0938571	1.00352
0.0162818	0.999091	-0.0941648	1.00354
0.0163665	0.999083	-0.0944721	1.00356
0.0164514	0.999075	-0.0947791	1.00358
0.0165366	0.999067	-0.0950857	1.0036
0.0166219	0.999059	-0.095392	1.00362
0.0167075	0.999051	-0.0956979	1.00364
0.0167933	0.999043	-0.0960034	1.00366
0.0168793	0.999035	-0.0963085	1.00368
0.0169655	0.999027	-0.0966133	1.0037
0.017052	0.999018	-0.0969177	1.00371
0.0171387	0.99901	-0.0972216	1.00373
0.0172256	0.999002	-0.0975252	1.00375
0.0173127	0.998993	-0.0978284	1.00377
0.0174	0.998985	-0.0981312	1.00379
0.0174876	0.998976	-0.0984336	1.00381
0.0175754	0.998968	-0.0987355	1.00383
0.0176634	0.998959	-0.0990371	1.00385
0.0177516	0.99895	-0.0993382	1.00387
0.0178401	0.998942	-0.0996389	1.00388
0.0179288	0.998933	-0.0999392	1.0039
0.0180177	0.998924	-0.100239	1.00392
0.0181068	0.998915	-0.100538	1.00394
0.0181961	0.998906	-0.100837	1.00396
0.0182857	0.998897	-0.101136	1.00398
0.0183755	0.998888	-0.101434	1.004
0.0184655	0.998879	-0.101732	1.00401
0.0185557	0.99887	-0.102029	1.00403
0.0186462	0.998861	-0.102325	1.00405
0.0187369	0.998852	-0.102622	1.00407
0.0188278	0.998842	-0.102917	1.00409
0.0189189	0.998833	-0.103213	1.00411
0.0190102	0.998824	-0.103507	1.00412
0.0191018	0.998814	-0.103802	1.00414
0.0191936	0.998805	-0.104095	1.00416
0.0192856	0.998795	-0.104389	1.00418
0.0193778	0.998786	-0.104682	1.0042
0.0194703	0.998776	-0.104974	1.00421
0.019563	0.998766	-0.105266	1.00423
0.0196559	0.998757	-0.105557	1.00425
0.019749	0.998747	-0.105848	1.00427
0.0198423	0.998737	-0.106138	1.00428
0.0199359	0.998727	-0.106428	1.0043
0.0200297	0.998717	-0.106717	1.00432
0.0201237	0.998707	-0.107006	1.00434
0.020218	0.998697	-0.107294	1.00435
0.0203124	0.998687	-0.107582	1.00437
0.0204071	0.998677	-0.107869	1.00439
0.020502	0.998667	-0.108156	1.0044
0.0205971	0.998657	-0.108442	1.00442
0.0206925	0.998646	-0.108727	1.00444
0.020788	0.998636	-0.109012	1.00446
0.0208838	0.998625	-0.109297	1.00447
0.0209799	0.998615	-0.109581	1.00449
0.0210761	0.998604	-0.109864	1.00451
0.0211726	0.998594	-0.110147	1.00452
0.0212692	0.998583	-0.110429	1.00454
0.0213661	0.998573	-0.110711	1.00455
0.0214633	0.998562	-0.110992	1.00457
0.0215606	0.998551	-0.111273	1.00459
0.0216582	0.99854	-0.111553	1.0046
0.021756	0.998529	-0.111832	1.00462
0.021854	0.998518	-0.112111	1.00463
0.0219523	0.998507	-0.112389	1.00465
0.0220507	0.998496	-0.112667	1.00467
0.0221494	0.998485	-0.112944	1.00468
0.0222483	0.998474	-0.11322	1.0047
0.0223475	0.998463	-0.113496	1.00471
0.0224468	0.998452	-0.113771	1.00473
0.0225464	0.99844	-0.114046	1.00474
0.0226462	0.998429	-0.11432	1.00476
0.0227462	0.998417	-0.114594	1.00477
0.0228465	0.998406	-0.114867	1.00479
0.022947	0.998394	-0.115139	1.0048
0.0230476	0.998383	-0.115411	1.00482
0.0231486	0.998371	-0.115682	1.00483
0.0232497	0.99836	-0.115952	1.00485
0.0233511	0.998348	-0.116222	1.00486
0.0234527	0.998336	-0.116491	1.00488
0.0235545	0.998324	-0.11676	1.00489
0.0236565	0.998312	-0.117028	1.0049
0.0237588	0.9983	-0.117295	1.00492
0.0238612	0.998288	-0.117562	1.00493
0.0239639	0.998276	-0.117828	1.00495
0.0240669	0.998264	-0.118094	1.00496
0.02417	0.998252	-0.118359	1.00497
0.0242734	0.998239	-0.118623	1.00499
0.024377	0.998227	-0.118887	1.005
0.0244808	0.998215	-0.11915	1.00501
0.0245848	0.998202	-0.119412	1.00503
0.0246891	0.99819	-0.119674	1.00504
0.0247936	0.998177	-0.119935	1.00505
0.0248983	0.998165	-0.120195	1.00506
0.0250032	0.998152	-0.120455	1.00508
0.0251084	0.998139	-0.120714	1.00509
0.0252138	0.998127	-0.120973	1.0051
0.0253194	0.998114	-0.121231	1.00511
0.0254252	0.998101	-0.121488	1.00512
0.0255312	0.998088	-0.121745	1.00514
0.0256375	0.998075	-0.122001	1.00515
0.025744	0.998062	-0.122256	1.00516
0.0258507	0.998049	-0.122511	1.00517
0.0259577	0.998036	-0.122765	1.00518
0.0260648	0.998023	-0.123018	1.00519
0.0261722	0.998009	-0.123271	1.00521
0.0262799	0.997996	-0.123523	1.00522
0.0263877	0.997983	-0.123774	1.00523
0.0264958	0.997969	-0.124025	1.00524
0.026604	0.997956	-0.124275	1.00525
0.0267125	0.997942	-0.124524	1.00526
0.0268213	0.997929	-0.124773	1.00527
0.0269302	0.997915	-0.125021	1.00528
0.0270394	0.997901	-0.125269	1.00529
0.0271488	0.997888	-0.125515	1.0053
