Q2:	2

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.0129989	0.99938	-0.0796591	1.00193
0.0130728	0.999374	-0.0799607	1.00195
0.0131469	0.999369	-0.0802621	1.00196
0.0132213	0.999363	-0.0805635	1.00197
0.0132958	0.999357	-0.0808648	1.00198
0.0133705	0.999351	-0.0811661	1.002
0.0134455	0.999345	-0.0814672	1.00201
0.0135207	0.999339	-0.0817683	1.00202
0.013596	0.999333	-0.0820692	1.00203
0.0136716	0.999327	-0.0823701	1.00205
0.0137474	0.999321	-0.0826708	1.00206
0.0138234	0.999314	-0.0829714	1.00207
0.0138997	0.999308	-0.0832719	1.00208
0.0139761	0.999302	-0.0835723	1.0021
0.0140527	0.999296	-0.0838726	1.00211
0.0141296	0.999289	-0.0841727	1.00212
0.0142067	0.999283	-0.0844727	1.00213
0.0142839	0.999276	-0.0847725	1.00215
0.0143614	0.99927	-0.0850722	1.00216
0.0144391	0.999263	-0.0853718	1.00217
0.0145171	0.999257	-0.0856712	1.00218
0.0145952	0.99925	-0.0859704	1.0022
0.0146735	0.999244	-0.0862694	1.00221
0.0147521	0.999237	-0.0865683	1.00222
0.0148309	0.99923	-0.086867	1.00223
0.0149098	0.999223	-0.0871656	1.00225
0.014989	0.999217	-0.0874639	1.00226
0.0150684	0.99921	-0.087762	1.00227
0.015148	0.999203	-0.08806	1.00228
0.0152279	0.999196	-0.0883578	1.0023
0.0153079	0.999189	-0.0886553	1.00231
0.0153881	0.999182	-0.0889526	1.00232
0.0154686	0.999175	-0.0892498	1.00233
0.0155493	0.999168	-0.0895467	1.00235
0.0156302	0.999161	-0.0898434	1.00236
0.0157113	0.999154	-0.0901398	1.00237
0.0157926	0.999146	-0.0904361	1.00238
0.0158741	0.999139	-0.0907321	1.00239
0.0159558	0.999132	-0.0910278	1.00241
0.0160378	0.999124	-0.0913233	1.00242
0.0161199	0.999117	-0.0916186	1.00243
0.0162023	0.999109	-0.0919136	1.00244
0.0162849	0.999102	-0.0922083	1.00246
0.0163677	0.999094	-0.0925028	1.00247
0.0164507	0.999087	-0.0927971	1.00248
0.0165339	0.999079	-0.093091	1.00249
0.0166173	0.999072	-0.0933847	1.0025
0.016701	0.999064	-0.0936781	1.00252
0.0167848	0.999056	-0.0939712	1.00253
0.0168689	0.999048	-0.0942641	1.00254
0.0169532	0.99904	-0.0945566	1.00255
0.0170377	0.999033	-0.0948488	1.00256
0.0171224	0.999025	-0.0951408	1.00258
0.0172073	0.999017	-0.0954324	1.00259
0.0172924	0.999009	-0.0957238	1.0026
0.0173778	0.999001	-0.0960148	1.00261
0.0174633	0.998992	-0.0963055	1.00262
0.0175491	0.998984	-0.0965959	1.00263
0.0176351	0.998976	-0.096886	1.00265
0.0177213	0.998968	-0.0971758	1.00266
0.0178077	0.998959	-0.0974652	1.00267
0.0178943	0.998951	-0.0977543	1.00268
0.0179811	0.998943	-0.098043	1.00269
0.0180682	0.998934	-0.0983314	1.0027
0.0181554	0.998926	-0.0986195	1.00272
0.0182429	0.998917	-0.0989072	1.00273
0.0183306	0.998909	-0.0991946	1.00274
0.0184185	0.9989	-0.0994816	1.00275
0.0185066	0.998891	-0.0997683	1.00276
0.0185949	0.998883	-0.100055	1.00277
0.0186834	0.998874	-0.100341	1.00278
0.0187722	0.998865	-0.100626	1.00279
0.0188611	0.998856	-0.100911	1.00281
0.0189503	0.998847	-0.101196	1.00282
0.0190397	0.998838	-0.101481	1.00283
0.0191293	0.998829	-0.101765	1.00284
0.0192191	0.99882	-0.102048	1.00285
0.0193091	0.998811	-0.102332	1.00286
0.0193994	0.998802	-0.102614	1.00287
0.0194898	0.998793	-0.102897	1.00288
0.0195805	0.998784	-0.103179	1.00289
0.0196713	0.998774	-0.103461	1.0029
0.0197624	0.998765	-0.103742	1.00291
0.0198537	0.998755	-0.104023	1.00292
0.0199452	0.998746	-0.104303	1.00293
0.020037	0.998737	-0.104583	1.00294
0.0201289	0.998727	-0.104863	1.00295
0.020221	0.998717	-0.105142	1.00296
0.0203134	0.998708	-0.105421	1.00297
0.020406	0.998698	-0.105699	1.00298
0.0204988	0.998688	-0.105977	1.00299
0.0205918	0.998679	-0.106255	1.003
0.020685	0.998669	-0.106532	1.00301
0.0207784	0.998659	-0.106809	1.00302
0.0208721	0.998649	-0.107085	1.00303
0.0209659	0.998639	-0.107361	1.00304
0.02106	0.998629	-0.107636	1.00305
0.0211543	0.998619	-0.107911	1.00306
0.0212488	0.998609	-0.108185	1.00307
0.0213435	0.998598	-0.108459	1.00308
0.0214384	0.998588	-0.108733	1.00309
0.0215335	0.998578	-0.109006	1.0031
0.0216289	0.998568	-0.109278	1.00311
0.0217244	0.998557	-0.109551	1.00312
0.0218202	0.998547	-0.109822	1.00313
0.0219162	0.998536	-0.110094	1.00313
0.0220124	0.998526	-0.110364	1.00314
0.0221088	0.998515	-0.110635	1.00315
0.0222054	0.998504	-0.110904	1.00316
0.0223023	0.998494	-0.111174	1.00317
0.0223993	0.998483	-0.111443	1.00318
0.0224966	0.998472	-0.111711	1.00319
0.022594	0.998461	-0.111979	1.00319
0.0226917	0.99845	-0.112246	1.0032
0.0227896	0.99844	-0.112513	1.00321
0.0228878	0.998429	-0.11278	1.00322
0.0229861	0.998417	-0.113046	1.00323
0.0230846	0.998406	-0.113311	1.00323
0.0231834	0.998395	-0.113576	1.00324
0.0232824	0.998384	-0.113841	1.00325
0.0233816	0.998373	-0.114105	1.00326
0.023481	0.998361	-0.114368	1.00327
0.0235806	0.99835	-0.114631	1.00327
0.0236804	0.998339	-0.114894	1.00328
0.0237805	0.998327	-0.115156	1.00329
0.0238807	0.998316	-0.115417	1.00329
0.0239812	0.998304	-0.115678	1.0033
0.0240819	0.998292	-0.115939	1.00331
0.0241828	0.998281	-0.116199	1.00332
0.0242839	0.998269	-0.116458	1.00332
0.0243852	0.998257	-0.116717	1.00333
